Šifra;Naziv;Župnija;Poštanski Broj;Mjesto;Adresa;Tip Ustanove;Osnivač;Ravnatelj;Telefon;Faks;e Pošta;Web
03-066-001;I. OSNOVNA ŠKOLA PETRINJA;Sisačko-moslavačka županija;44250;Petrinja;GUNDULIĆEVA 5;Osnovna škola;Sisačko-moslavačka županija;Robert Groza;044/526-856, 044/526-855, 044/526-854, 044/526-857, 044/526-853;044/526-856;ured@os-prva-petrinja.skole.hr;www.1os-petrinja.hr
03-066-002;OSNOVNA ŠKOLA MATE LOVRAKA PETRINJA;Sisačko-moslavačka županija;44250;Petrinja;MIRKA ANTOLIĆA 18;Osnovna škola;Sisačko-moslavačka županija;Ankica Krnjajić Magdić;044/527-801, 044/527-800;075/801-502;ured@os-mlovraka-petrinja.skole.hr;
03-066-003;OSNOVNA ŠKOLA DRAGUTINA TADIJANOVIĆA PETRINJA;Sisačko-moslavačka županija;44250;Petrinja;TRG MATICE HRVATSKE 9/b;Osnovna škola;Sisačko-moslavačka županija;Davor Miholjević;044/815-335; mob:0993590260, 044/815-335,  044/811-902, 044/811-903, 044/811-901, 044/811-905, 044/811-906;044/811-907;ravnatelj@os-dtadijanovica-petrinja.skole.hr, pedagog@os-dtadijanovica-petrinja.skole.hr, szop@os-dtadijanovica-petrinja.skole.hr, ured@os-dtadijanovica-petrinja.skole.hr;www.os-tadija-petrinja.hr
03-066-004;Osnovna škola Ivan Goran Kovačić;Sisačko-moslavačka županija;44250;Gora;Gora 61 a;Osnovna škola;Sisačko-moslavačka županija;Valentina Vujnović;044/824-650, 044/824-755;044/824-650;igk@os-igkovacic-petrinjagora.skole.hr;www.http://os-igkovacic-petrinjagora.skole.hr/
03-076-001;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA SISAK;Sisačko-moslavačka županija;44000;Sisak;Ulica kralja Tomislava 19,Sisak;Osnovna škola;GRAD SISAK;Željka Birač;044/549-797, 044/547-040, 091/4554010;;ured@os-ikukuljevica-sk.skole.hr;www.os-ikukuljevica-sk.skole.hr
03-076-002;Osnovna škola 22. lipnja;Sisačko-moslavačka županija;44000;Sisak;FRANJE LOVRIĆA 27;Osnovna škola;Grad Sisak;Azra Rađenović;044/548-341, 548-344, 548-345, 044/548-342, 044/548-344;;, ured@os-22lipnja-sk.skole.hr;
03-076-003;OSNOVNA ŠKOLA BRAĆA BOBETKO SISAK;Sisačko-moslavačka županija;44000;Sisak;Marijana Cvetkovića 24;Osnovna škola;GRAD SISAK;Karolina Čutuk;044/537-213, 044/538-795;044/537-213;ured@os-braca-bobetko-sk.skole.hr;http://os-braca-bobetko-sk.skole.hr
03-076-004;Osnovna škola Braća Ribar;Sisačko-moslavačka županija;44000;Sisak;ZAGREBAČKA ULICA 8A;Osnovna škola;GRAD SISAK;Vesna Šebek;044/570-208;(044) 571-971;ured@os-braca-ribar-sk.skole.hr;
03-076-005;Osnovna škola Viktorovac;Sisačko-moslavačka županija;44000;Sisak;ALEJA NARODNIH HEROJA 2;Osnovna škola;GRAD SISAK;Višnja Tadić;044/533-810;044/534-308;skola@os-viktorovac-sk.skole.hr;
03-076-006;Osnovna škola Galdovo;Sisačko-moslavačka županija;44000;Sisak;Brezovačkog odreda 1B;Osnovna škola;GRAD SISAK;Petar Zelić;044/741-227, 044/743-284;044/743-174;ured@os-galdovo-sk.skole.hr;
03-076-007;Osnovna škola Sela;Sisačko-moslavačka županija;44273;Sela;SISAČKA ULICA 103, SELA;Osnovna škola;GRAD SISAK;Draženka Kušević;044/713-002, 044/713-128, 0993283528, 0998196666;044/713-002;ured@os-sela.skole.hr;www.os-sela.skole.he
03-194-001;OSNOVNA ŠKOLA JABUKOVAC;Sisačko-moslavačka županija;44250;Petrinja;JABUKOVAC 34;Osnovna škola;Sisačko-moslavačka županija;Jadranka Novak;044/824-000, 044/823-055;044/823-060;jadranka.novak3@skole.hr, jadranka.novak3@skole.hr;http://www.os-jabukovac.skole.hr/
03-076-008;Osnovna škola Budaševo-Topolovac-Gušće;Sisačko-moslavačka županija;44202;Budaševo;TRG M. ŠOKČEVIĆA 1;Osnovna škola;GRAD SISAK;Mirela Maričević;044/776-078, 044/776-805, 044/777 109;;os-budasevo@os-budasevo.skole.hr;os-budasevo.skole.hr
03-076-010;OSNOVNA ŠKOLA IVANA ANTOLČIĆA KOMAREVO;Sisačko-moslavačka županija;44010;Sisak-Caprag;GORNJE KOMAREVO 181A;Osnovna škola;GRAD SISAK;Gordana Vasić;044/719-100, 044/719-101;044/719-100;os-komarevo@sk.t-com.hr, tajnistvo@os-iantolcica-komarevo.skole.hr, os-komarevo@sk.t-com.hr;http://www.os-komarevo.skole.hr
03-092-002;Osnovna škola Gvozd;Sisačko-moslavačka županija;44410;Gvozd;KRALJA PETRA SVAČIĆA 21;Osnovna škola;Sisačko-moslavačka županija;Natko Rupčić;044/525-191, 044/525-190;044/525-195, 044/525-196;os-gvozd@os-gvozd.skole.hr;
03-190-001;OSNOVNA ŠKOLA JOSIPA KOZARCA;Sisačko-moslavačka županija;44322;Lipovljani;AUGUSTA ŠENOE 1;Osnovna škola;Sisačko-moslavačka županija;Mirjana Faltis;044/676-001, 044/691-691, 044/691-692, 044/691-693, 044/691-695;044/691-694;ured@os-jkozarca-lipovljani.skole.hr;www.os-jkozarca-lipovljani.skole.hr
03-191-001;Osnovna škola Mladost;Sisačko-moslavačka županija;44272;Lekenik;ZAGREBAČKA 25 B;Osnovna škola;Sisačko-moslavačka županija;Igor Rožić;044/527-001, 044/527-002;;ured@os-mladost-lekenik.skole.hr;os-mladost-lekenik.skole.hr
03-192-001;Osnovna škola Braća Radić;Sisačko-moslavačka županija;44201;Martinska Ves;Desna Martinska Ves 66;Osnovna škola;Sisačko-moslavačka županija;Verica Pleša;044/711-171;044/711-037;os.braca.radic@sk.t-com.hr, ured@os-braca-radic-martinskaves.skole.hr;
03-193-001;Osnovna škola Jasenovac;Sisačko-moslavačka županija;44324;Jasenovac;BRAĆE RADIĆA 145;Osnovna škola;Sisačko-moslavačka županija;Branko Šepović;044/672-096, 044/672-155, 044/672-598, 672-096;044/672-096;os-jasenovac@os-jasenovac.skole.hr;www.os-jasenovac.skole.hr
03-195-001;OSNOVNA ŠKOLA POPOVAČA;Sisačko-moslavačka županija;44317;Popovača;VINOGRADSKA 15;Osnovna škola;Sisačko-moslavačka županija;Dražen Mlakar;044/637-266, 044/637-260;044/637-269;os-popovaca@sk.t-com.hr, ured@os-popovaca.skole.hr;www.os-popovaca.skole.hr
03-196-001;OSNOVNA ŠKOLA LUDINA;Sisačko-moslavačka županija;44316;Velika Ludina;OBRTNIČKA 12;Osnovna škola;Sisačko-moslavačka županija;Tomislav Pavlović;044/658-913;669-101, 044/669-100, 044/669-102, 044/669-103;044/669-106;ured@os-ludina.skole.hr;
03-197-001;OSNOVNA ŠKOLA SUNJA;Sisačko-moslavačka županija;44210;Sunja;LJUDEVITA POSAVSKOG 55 A;Osnovna škola;Sisačko-moslavačka županija;Ilija Potkonjak;044 833 038, 044 833 088;;os-sunja-001@os-sunja.skole.hr;os-sunja.skole.hr
03-202-001;Osnovna škola Vladimir Nazor Topusko;Sisačko-moslavačka županija;44415;Topusko;ŠKOLSKA ULICA 12;Osnovna škola;Sisačko-moslavačka županija;Jana Markulin;044/885-103, 044/526-394, 044/526-393, 044/526-395, 044 526 399;044/526-390;ured@os-vnazor-topusko.skole.hr;http://os-vnazor-topusko.skole.hr/
03-206-001;Osnovna škola Ivo Kozarčanin;Sisačko-moslavačka županija;44450;Hrvatska Dubica;TOMISLAVA BOGIĆA 2;Osnovna škola;Sisačko-moslavačka županija;Suzana Vogrinc;044/525 541, 044/855-025,525 540, 044 525 542, 044 525 546;044 525 547, 044 525 547;ured@os-ikozarcanin-hrvatskadubica.skole.hr\t \t;www.os-ikozarcanin-hrvatskadubica.skole.hr
04-019-001;OSNOVNA ŠKOLA VLADIMIR NAZOR;Karlovačka županija;47250;Duga Resa;JOZEFINSKA CESTA 85;Osnovna škola;Karlovačka županija;Gordana Krstulić;047/841-700, 047/844-623;047/811-865;ured@os-vnazor-dugaresa.skole.hr;
04-019-002;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Karlovačka županija;47250;Duga Resa;BANA JOSIPA JELAČIĆA 8;Osnovna škola;Karlovačka županija;Sanja Ferkula;047/841-114, 047/844-011, 047/811-121;047/811-120;ured@os-igkovacic-dugaresa.skole.hr;http://os-igkovacic-dugaresa.skole.hr/
04-034-001;OSNOVNA ŠKOLA BANIJA;Karlovačka županija;47000;Karlovac;Dr. Gaje Petrovića 5;Osnovna škola;GRAD KARLOVAC;Antonija Mastelić Milanović;047/648-172, 047/648-171;047/648-171;os-banija@os-banija-ka.skole.hr;
04-034-002;OSNOVNA ŠKOLA REČICA;Karlovačka županija;47000;Karlovac;REČICA 33/A;Osnovna škola;GRAD KARLOVAC;Dijana Perišin;047/713-003, 099/228-9655, 047/713-018,;047/713-003;ured@os-recica.skole.hr;www.os-recica.skole.hr
04-034-003;OSNOVNA ŠKOLA ŠVARČA;Karlovačka županija;47000;Karlovac;BAŠČINSKA CESTA 20;Osnovna škola;GRAD KARLOVAC;Andreja Željković;047/431-770, 047/431-771;047/431-770;svarca@os-svarca-ka.skole.hr;www.os-svarca-ka.skole.hr
04-034-005;OSNOVNA ŠKOLA GRABRIK;Karlovačka županija;47000;Karlovac;Bartula Kašića 15;Osnovna škola;GRAD KARLOVAC;Željka Škot;047/422-960, 047/422-962, 047/631-806;047/612-612;grabrik@os-grabrik-ka.skole.hr;www.os-grabrik.hr
04-034-006;OSNOVNA ŠKOLA DUBOVAC;Karlovačka županija;47000;Karlovac;PRIMORSKA 9;Osnovna škola;Grad Karlovac;Irmelina Sablić;047/416-561, 047/416-560;047/412-506;tajnistvo@os-dubovac-ka.skole.hr;
04-034-007;OSNOVNA ŠKOLA TURANJ;Karlovačka županija;47000;Karlovac;TURANJ 18;Osnovna škola;GRAD KARLOVAC;Snježana Žunac;047/638 - 678, 047/641-433, 047/641-430;047/638 - 678;pedagog@os-turanj-ka.skole.hr, snjezana.zunac@skole.hr, ured@os-turanj-ka.skole.hr;www.os-turanj.weebly.com
04-034-008;OSNOVNA ŠKOLA MAHIČNO;Karlovačka županija;47000;Karlovac;Mahićno 122;Osnovna škola;GRAD KARLOVAC;Gorana Simić Vinski;047/651-088, 047/651-090;047/651-088;ured@os-mahicno.skole.hr;
04-034-009;OSNOVNA ŠKOLA DRAGOJLE JARNEVIĆ;Karlovačka županija;47000;Karlovac;RADIĆEVA 31;Osnovna škola;GRAD KARLOVAC;;047/614-599, 047/614-572;047/614-599;ured@os-djarnevic-ka.skole.hr;http://os-djarnevic-ka.skole.hr/
04-034-010;CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI;Karlovačka županija;47000;Karlovac;BANIJA 24;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;GRAD KARLOVAC;Volodymyr Kubinskyy;047/648-548, 047/648-395;047/648-395, 648-548;coodm@centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr;centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr
04-034-013;OSNOVNA ŠKOLA BRAĆA SELJAN;Karlovačka županija;47000;Karlovac;VLADIMIRA NAZORA 1;Osnovna škola;GRAD KARLOVAC;Jasmina Budinski;047/615-599, 047/638-715, 047/614-901, 047/615-577, 047/638-714;;ured@os-braca-seljan-ka.skole.hr;www.os-braca-seljan-ka.skole.hr
04-056-001;PRVA OSNOVNA ŠKOLA;Karlovačka županija;47300;Ogulin;BOLNIČKA ULICA 11;Osnovna škola;Karlovačka županija;Zvonko Ranogajec;047/811-188, 047/522-245;047/522-245;tajnistvo@os-prva-ogulin.skole.hr;os-prva-ogulin.skole.hr
04-056-002;Osnovna škola Ivane Brlić - Mažuranić Ogulin;Karlovačka županija;47300;Ogulin;JOSIPA BANA JELAČIĆA 1;Osnovna škola, Umjetnička škola;Karlovačka županija;Anđelka Salopek;047/522-413, 047/531-778;075/801-879;ured@os-ibmazuranic-ogulin.skole.hr;
04-062-001;OSNOVNA ŠKOLA SLAVA RAŠKAJ;Karlovačka županija;47280;Ozalj;PODGRAJ 10 A;Osnovna škola;Karlovačka županija;Gordana Basar;047/731-112;047/731-112;tajnistvo@os-slava-raskaj-ozalj.skole.hr, ured@os-slava-raskaj-ozalj.skole.hr;http://os-slava-raskaj-ozalj.skole.hr/
04-079-001;OSNOVNA ŠKOLA SLUNJ;Karlovačka županija;47240;Slunj;Školska 17;Osnovna škola;Karlovačka županija;Tome Cvitković;047/777-610, 047/777-112;047/777-610;ured@os-slunj.skole.hr;http://os-slunj.skole.hr/
04-091-001;Osnovna škola Vojnić;Karlovačka županija;47220;Vojnić;Starčevićev trg 3;Osnovna škola;Karlovačka županija;Mirjana Stojković;047/883-060, 047/811 308, 047/811-306;047/811-307;skola@os-vojnic.skole.hr;
04-201-001;OSNOVNA ŠKOLA ˝ANTUN KLASINC˝ LASINJA;Karlovačka županija;47206;Lasinja;TRG HRVATSKIH BRANITELJA 11;Osnovna škola;Karlovačka županija;Mario Crnolatec;047/884-088, 047/884-199, 047/612-688;;ured@osakl.hr, vesna.turk1@skole.hr;
04-209-001;OSNOVNA ŠKOLA BARILOVIĆ;Karlovačka županija;47252;Barilović;BARILOVIĆ 96;Osnovna škola;Karlovačka županija;Vesna Car;047/847-191, 047/811-285, 047/847-007, 047/847-011;;ured@os-barilovic.skole.hr;www.os-barilovic.skole.hr
04-210-001;OSNOVNA ŠKOLA CETINGRAD;Karlovačka županija;47222;Cetingrad;IVANA FRANKOPANA CETINSKOG 11;Osnovna škola;Karlovačka županija;Zorka Cindrić;047/781-005, 047/781-030;047/781-005;ured@os-cetingrad.skole.hr;os-cetingrad.skole.hr
04-211-001;OSNOVNA ŠKOLA DRAGANIĆI;Karlovačka županija;47201;Draganić;DRAGANIĆI 35;Osnovna škola;Karlovačka županija;Marica Jurčić;047/715-196, 047/715-196;047/715-196;ured@os-draganici.skole.hr;
04-212-001;OSNOVNA ŠKOLA GENERALSKI STOL;Karlovačka županija;47262;Generalski Stol;GENERALSKI STOL 22A;Osnovna škola;Karlovačka županija;Dijana Zadrović;047/811-327, 047/861-317, 047/811-184, 047811185;047/811-327;dijana.zadrovic@skole.hr, skola@os-generalski-stol.skole.hr;www.os-generalski-stol.hr
04-213-001;OSNOVNA ŠKOLA KATARINE ZRINSKI;Karlovačka županija;47242;Krnjak;KRNJAK 20;Osnovna škola;Karlovačka županija;Željka Stojković;047/727-046, 047/811-358, 047/811-359, -047/727-200;047/811-358;ured@os-kzrinski-krnjak.skole.hr;
04-214-001;OSNOVNA ŠKOLA NETRETIĆ;Karlovačka županija;47271;Netretić;NETRETIĆ 1;Osnovna škola;Karlovačka županija;Miodrag Popović;047/804-424, 047/804-210;047/804-120;ured@os-netretic.skole.hr;
04-216-001;OSNOVNA ŠKOLA JOSIPDOL;Karlovačka županija;47303;Josipdol;KARLOVAČKA 17;Osnovna škola;Karlovačka županija;Anđelina Božičević;047/581-112, 047/581-112, 047/573-663;047/581-112;ured@os-josipdol.skole.hr;os-josipdol.skole.hr
04-217-001;OSNOVNA ŠKOLA PLAŠKI;Karlovačka županija;47304;Plaški;143. DOMOBRANSKE PUKOVNIJE 1A;Osnovna škola;Karlovačka županija;Vlatko Kulić;047/573-178, 047/573-178;047/573-117;ured@os-plaski.skole.hr;os-plaski.skole.hr
04-219-001;OSNOVNA ŠKOLA EUGENA KVATERNIKA;Karlovačka županija;47245;Rakovica;RAKOVICA 95;Osnovna škola;Karlovačka županija;Vera Ljubanović Grdić;047/784-016, 047/784-070, 047/811-372;047/784-016;vera.ljubanovic-grdic@skole.hr, valentina.kraljicek@skole.hr, os-rakovica@os-ekvaternika-rakovica.skole.hr;http://os-ekvaternika-rakovica.skole.hr/
04-034-014;OSNOVNA ŠKOLA SKAKAVAC;Karlovačka županija;47212;Skakavac;SKAKAVAC 44;Osnovna škola;GRAD KARLOVAC;Anto Ćališ;047/711-289, 047/711-288, (047) 711 200, 047/601-458;047/601-459;racunovodstvo.oskakavac@gmail.com, ured@os-skakavac.skole.hr;
04-221-001;OSNOVNA ŠKOLA ŽAKANJE;Karlovačka županija;47276;Žakanje;ŽAKANJE 58;Osnovna škola;Karlovačka županija;Jasmina Katunić;047/757-585;047/600-827;ured@os-zakanje.skole.hr;www/os-zakanje.hr
05-031-001;Osnovna škola Ivana Kukuljevića Sakcinskog;Varaždinska županija;42240;Ivanec;Ulica akademika Ladislava Šabana 17;Osnovna škola;Varaždinska županija;Damir Jagić;042/781-330, 042/781-330, 042/784-440, ;042/781-330;os-ivanec@os-iksakcinskog-ivanec.skole.hr;http://os-iksakcinskog-ivanec.skole.hr/
05-031-004;Osnovna škola Metel Ožegović;Varaždinska županija;42242;Radovan;Varaždinska ulica 14;Osnovna škola;Varaždinska županija;Željkica Hanžek-Paska;042/747 525/10, 042/747 525 /12, 042/747 525/ 15, 042 747 525/11;042/207 434;ured@os-metel-ozegovic-radovan.skole.hr;www.os-metel-ozegovic-radovan.skole.hr
05-046-001;Osnovna škola Ludbreg;Varaždinska županija;42230;Ludbreg;Andrije Kačića Miošića 17;Osnovna škola, Umjetnička škola;Varaždinska županija;Đurđa Kladić;042/810-834, 042/306-023;042/810-834;os-ludbreg@osl.hr, ured@os-ludbreg.skole.hr;
05-053-001;Osnovna škola Novi Marof;Varaždinska županija;42220;Novi Marof;ZAGORSKA 23;Osnovna škola, Umjetnička škola;Varaždinska županija;Anđelko Bošnjak;042/611-215, 042/613-029, 042/613-045;042/611-215;branka.novak1@skole.hr, andelko.bosnjak@skole.hr, os.novimarof@skole.hr;
05-053-002;Osnovna škola Podrute;Varaždinska županija;42220;Donje Makojišće;Donje Makoišće 115;Osnovna škola;Varaždinska županija;Štefek Vincek;625-382, 625-780, ;625-382;ravnatelj@os-podrute-donje-makoisce.skole.hr;http://www.os-podrute-donje-makoisce.skole.hr/
05-086-001;I. OSNOVNA ŠKOLA VARAŽDIN;Varaždinska županija;42000;Varaždin;KRALJA PETRA KREŠIMIRA IV. BROJ 10;Osnovna škola;GRAD VARAŽDIN;Karmen Hans - Jalšovec;320-444, 320-465, 320-444;320-444;ured@os-prva-vz.skole.hr;http://os-prva-vz.skole.hr/
05-086-002;II. osnovna škola Varaždin;Varaždinska županija;42000;Varaždin;AUGUSTA CESARCA 10;Osnovna škola;GRAD VARAŽDIN;Ernest Habek;214-467, 214-467;214-463;drugaos-vz@os-druga-vz.skole.hr, ravnatelj@os-druga-vz.skole.hr;
05-086-003;III. OSNOVNA ŠKOLA VARAŽDIN;Varaždinska županija;42000;Varaždin;Trg Ivana Perkovca 35;Osnovna škola;GRAD VARAŽDIN;Jasenka Martinčević;+38542240545, +38542240570;+38542204210;ravnateljica@os-treca-vz.skole.hr, tajnistvo@os-treca-vz.skole.hr, racunovodstvo@os-treca-vz.skole.hr, knjiznica@os-treca-vz.skole.hr, ured@os-treca-vz.skole.hr;http://os-treca-vz.skole.hr/
05-086-004;IV. osnovna škola Varaždin;Varaždinska županija;42000;Varaždin;Antuna Matije Reljkovića 36;Osnovna škola;GRAD VARAŽDIN;Jasmina Dvorski;042/330-595, 042/330-595;042/303-050;jasmina.dvorski@skole.hr, ured@os-cetvrta-vz.skole.hr;http://os-cetvrta.skole.hr/
05-086-005;V. osnovna škola Varaždin;Varaždinska županija;42000;Varaždin;Vatrogasna ulica 5;Osnovna škola;GRAD VARAŽDIN;Mario Šipek;230-424, 230-424, 203-426 ( 042 );230-424;peta@os-peta-vz.skole.hr;
05-086-006;VI. osnovna škola Varaždin;Varaždinska županija;42000;Varaždin;D. DEMETRA 13;Osnovna škola;GRAD VARAŽDIN;Mario Stančić;042/260-343, 042/260-343, 042/206-300, 042/658-982;042/260-343;ured@os-sesta-vz.skole.hr;http://www.os-sesta-vz.skole.hr/
05-086-007;Centar za odgoj i obrazovanje Tomislav Špoljar;Varaždinska županija;42000;Varaždin;JURJA KRIŽANIĆA 33;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;GRAD VARAŽDIN;Marin Vučić;212-787, 301-363, 301-362, 091 2212787, 301-361, 658-450;301-360;info@centar-tspoljar-vz.skole.hr, info@centar-tspoljar-vz.skole.hr;
05-086-008;VII. osnovna škola Varaždin;Varaždinska županija;42000;Varaždin;Varaždinska ulica 131, Donji Kućan;Osnovna škola;GRAD VARAŽDIN;Jurica Hunjadi;641-500, 207-380;641-500;ured@os-sedma-vz.skole.hr;os-sedma-vz.skole.hr
05-222-001;Osnovna škola Cestica;Varaždinska županija;42208;Cestica;DRAVSKA 2;Osnovna škola;Varaždinska županija;Nevenka Turščak;042 724-238;042 208-638;tajnistvo@os-cestica.hr, skola@os-cestica.hr, ravnateljica@os-cestica.hr, racunovodstvo@os-cestica.hr, pedagog@os-cestica.hr, zbornica@os-cestica.hr, knjiznica@os-cestica.hr, ured@os-cestica.skole.hr;http://os-cestica.skole.hr/
05-223-001;Osnovna škola Kneginec Gornji;Varaždinska županija;42204;Gornji Kneginec;GORNJI KNEGINEC, Ulica učitelja Vjekoslava Kezele 7;Osnovna škola;Varaždinska županija;Miljenko Rožmarić;042/690-445, 042/209-510, 042/690 140, 042/209-531, 042/209-434, 042/209 530;042/209-510;miljenko.rozmaric@skole.hr, ured@os-gornji-kneginec.skole.hr;
05-224-001;Osnovna škola Petar Zrinski Jalžabet;Varaždinska županija;42203;Jalžabet;VARAŽDINSKA 19a;Osnovna škola;Varaždinska županija;Mirjana Kučar;042/647-088, 042/647-881 (zbornica);042/647-680;ured@os-pzrinski-jalzabet.skole.hr;http://os-pzrinski-jalzabet.skole.hr/
05-225-001;Osnovna škola Vidovec;Varaždinska županija;42205;Vidovec;Školska 4;Osnovna škola;Varaždinska županija;Predrag Mašić;042/741-307, 042/741-307, 042/741-717, 042/741-617 (zbornica);042/741-307;vidovec@os-vidovec.skole.hr;os-vidovec.skole.hr
05-226-001;Osnovna škola Petrijanec;Varaždinska županija;42206;Petrijanec;VLADIMIRA NAZORA 42;Osnovna škola;Varaždinska županija;Valerija Paljak;042/ 714-044, 042/ 714-033;042/ 208-808;os-petrijanec@os-petrijanec.skole.hr;http://os-petrijanec.skole.hr/
05-227-001;Osnovna škola Vladimir Nazor;Varaždinska županija;42214;Sveti Ilija;ŠKOLSKA 7;Osnovna škola;Varaždinska županija;Anđelka Rihtarić;042/734-210, 042/200-466, 042/734-211, 099/2297446;042/734-210;skola@os-vnazor-svetiilija.skole.hr;
05-227-002;Osnovna škola Beletinec;Varaždinska županija;42214;Beletinec;STJEPANA RADIĆA 4;Osnovna škola;Varaždinska županija;Nataša Fadiga;749-383;749-383;tajnistvo@os-beletinec.skole.hr;www.os-beletinec.skole.hr
05-229-001;Osnovna škola Trnovec;Varaždinska županija;42202;Trnovec;BARTOLOVEČKA 55;Osnovna škola;Varaždinska županija;Radmila Sačić;683-055, 098-275-228;683-055;os.trnovec@skole.hr, ostrnovec@ostrnovec.hr;
05-229-002;Osnovna škola Šemovec;Varaždinska županija;42202;Šemovec;Šemovec, Plitvička 2;Osnovna škola;Varaždinska županija;Marina Hižak;+385 (42) 657 200, +385 (42) 657 717, +385 (42) 657 109, +385 (99) 229 7439;;skola@os-semovec.hr, racunovodstvo@os-semovec.hr, ravnateljica@os-semovec.hr, tajnistvo@os-semovec.hr;http://os-semovec.skole.hr, os-semovec.skole.hr/skola
05-230-001;Osnovna škola Vinica;Varaždinska županija;42207;Vinica;MARČAN, VINIČKA 10;Osnovna škola;Varaždinska županija;Mirjana Jambriško;042 208 475, 042 722 585, 042 722 599, 042 722 587, 042 722 588;042 208 474;os-vinica@os-vinica.skole.hr;http://os-vinica.skole.hr/
05-231-001;Osnovna škola Sračinec;Varaždinska županija;42209;Sračinec;VARAŽDINSKA 98;Osnovna škola;Varaždinska županija;Lidija Valec;042 208-959, 042 712-600, 042/208-959;042 208-393;lidija.valec@ossracinec.hr, ljiljanka.skomrak@ossracinec.hr, skola@ossracinec.hr;http://os-sracinec.skole.hr
05-232-001;Osnovna škola Franje Serta Bednja;Varaždinska županija;42253;Bednja;LJUDEVITA GAJA 15;Osnovna škola;Varaždinska županija;Sanja Majcen;042/796-302, 042/771-603;042/796-302;admin@os-fserta-bednja.skole.hr, ured@os-fserta-bednja.skole.hr;http://os-fserta-bednja.skole.hr/
05-233-001;Osnovna škola Gustav Krklec Maruševec;Varaždinska županija;42243;Maruševec;ČALINEC 78;Osnovna škola;Varaždinska županija;Tomislav Vincek;042/729377 kućni 1, 042/729-377 , 042/209678;042/209679;ured@os-gkrklec-calinec.skole.hr;
05-234-001;Osnovna škola grofa Janka Draškovića;Varaždinska županija;42244;Klenovnik;KLENOVNIK 21;Osnovna škola;Varaždinska županija;Mijo Barišić;042/763-415, 042/771-416, 042/771-417, 042/444-260;042/763-415;ured@os-grofa-jdraskovica-klenovnik.skole.hr;www:http://skole.htnet.hr/os-klenovnik-001/skola
05-235-001;Osnovna škola Andrije Kačića Miošića;Varaždinska županija;42245;Donja Voća;DONJA VOĆA 19d;Osnovna škola;Varaždinska županija;Rahela Blažević;042766550, 042766120;042766120;ured@os-akmiosica-donja-voca.skole.hr;
05-236-001;Osnovna škola Ante Starčevića;Varaždinska županija;42250;Lepoglava;HRVATSKIH PAVLINA 42;Osnovna škola;Varaždinska županija;Ratko Tomić;791-095;;ratko.tomic1@gmail.com, tajnistvo@os-astarcevica-lepoglava.skole.hr;
